,3 pairs in 15 nights detection loss NEO H=16.0,3 pairs in 15 nights detection loss NEO H=22.0,3 pairs in 15 nights detection loss MBA H=16.0,3 pairs in 15 nights detection loss MBA H=21.0,3 pairs in 15 nights detection loss Trojan H=14.0,3 pairs in 15 nights detection loss Trojan H=18.0,3 pairs in 15 nights detection loss TNO H=4.0,3 pairs in 15 nights detection loss TNO H=8.0,3 pairs in 30 nights detection loss NEO H=16.0,3 pairs in 30 nights detection loss NEO H=22.0,3 pairs in 30 nights detection loss MBA H=16.0,3 pairs in 30 nights detection loss MBA H=21.0,3 pairs in 30 nights detection loss Trojan H=14.0,3 pairs in 30 nights detection loss Trojan H=18.0,3 pairs in 30 nights detection loss TNO H=4.0,3 pairs in 30 nights detection loss TNO H=8.0
twi_filters_4_v1.4_10yrs,0.9198,0.5967201190715594,1.0,0.583644258287925,1.0,0.4823496586005924,0.7514,0.4773132121918815,0.9262,0.6403421153504132,1.0,0.631376013044476,1.0,0.5378605852960112,0.7554,0.5027922052096921
twi_filters_5_v1.4_10yrs,0.925,0.5985542816673796,1.0,0.5886341570174886,1.0,0.48801410645621407,0.7478,0.4799809436010817,0.9296,0.641790342784389,1.0,0.6346125722595758,1.0,0.5386282041961027,0.7574,0.504995806840302
twilight_neo_mod1_v1.4_10yrs,0.9806,0.5530471168449056,1.0,0.5111159432912168,1.0,0.4433489225715673,0.7606,0.40063759903696416,0.9852,0.6024282312248687,1.0,0.566786442497292,1.0,0.4977414511584124,0.7744,0.44183211801618066
twilight_neo_mod2_v1.4_10yrs,0.9534,0.5700637170774004,1.0,0.5502477610577562,1.0,0.4564447798743762,0.7686,0.4495647946631028,0.9692,0.6201263499905267,1.0,0.6025034859291117,1.0,0.5158139724205035,0.779,0.4768048794993855
twilight_neo_mod3_v1.4_10yrs,0.9414,0.5768785016412344,1.0,0.5615126993303748,1.0,0.47159262008173736,0.7596,0.46198541100401025,0.9592,0.6265926256560035,1.0,0.612112311613418,1.0,0.5223171605323774,0.7736,0.4893500558433844
twilight_neo_mod4_v1.4_10yrs,0.9298,0.5845740555927044,1.0,0.5701986129623984,1.0,0.4775410712052585,0.7554,0.4689374971250096,0.949,0.6303520079407159,1.0,0.6190067860496952,1.0,0.5263103784508069,0.772,0.4937095714277675
u60_v1.4_10yrs,0.9216,0.5956362941140323,1.0,0.5752704446921789,,,0.746,0.47436914595528246,0.927,0.6394281664436012,1.0,0.626413875557282,,,0.7548,0.49983284118888993
uparis_illum_15_scale2v1.4_10yrs,0.9222,0.5805581907192783,1.0,0.5670423214993692,,,0.7492,0.4726552645090045,0.927,0.6284732676925264,1.0,0.6187289857050917,,,0.756,0.4983113559654592
uparis_illum_15_scale4v1.4_10yrs,0.9218,0.5840354020410129,1.0,0.5652302216860964,,,0.7484,0.47208414879699756,0.928,0.6298076304509683,1.0,0.6130829838841617,,,0.7564,0.4982684042711979
uparis_illum_30_scale1v1.4_10yrs,0.921,0.5866941226853414,1.0,0.5730932317163029,,,0.7506,0.4797214761514468,0.9276,0.632261048119166,1.0,0.6188756920287932,,,0.756,0.5035032518569681
uparis_illum_30_scale2v1.4_10yrs,0.9228,0.5609924680041708,1.0,0.5403488981777663,,,0.7462,0.46688063497387045,0.9276,0.6120630518340006,1.0,0.5978604707069931,,,0.7522,0.4944038990973357
uparis_illum_30_scale4v1.4_10yrs,0.92,0.5468853412222149,1.0,0.5218877189881,,,0.7474,0.46101270559982066,0.9258,0.6008032021857871,1.0,0.5824983636000226,,,0.7524,0.4884437746636608
uparis_illum_40_scale1v1.4_10yrs,0.923,0.5957481613876923,1.0,0.5804078844922392,,,0.7512,0.4827543524122661,0.929,0.6374045651679634,1.0,0.6222272275685566,,,0.7558,0.5033592973320807
uparis_illum_40_scale2v1.4_10yrs,0.922,0.562216208300804,1.0,0.5478673101663308,,,0.747,0.47241565320254697,0.9274,0.6139578878035049,1.0,0.6005793346023914,,,0.7556,0.49768634462660294
